,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene_name
ENSG00000128228,-0.026838206,2.561459777,-0.10796881,0.914239625,0.96097697,-6.168712345,SDF2L1
ENSG00000178287,-0.05902668,-2.386358215,-0.107934389,0.914266859,0.96097697,-5.337426534,SPAG11A
ENSG00000172354,0.012633042,7.934296798,0.107904433,0.91429056,0.96097697,-6.658316457,GNB2
ENSG00000147457,-0.011695228,5.117276814,-0.10777886,0.914389914,0.96097697,-6.65078174,CHMP7
ENSG00000104047,0.008591125,6.227781705,0.107708409,0.914445409,0.96097697,-6.705671655,DTWD1
ENSG00000109618,-0.012540587,4.053090692,-0.107693455,0.914457487,0.96097697,-6.489338918,SEPSECS
ENSG00000148219,0.014132969,2.175264033,0.107670836,0.914475096,0.96097697,-6.099588599,ASTN2
ENSG00000143156,0.020746471,3.222498688,0.107591672,0.91453802,0.960978198,-6.313129758,NME7
ENSG00000178188,0.010532204,4.316507162,0.107421242,0.914672718,0.961054839,-6.54672031,SH2B1
ENSG00000204219,0.042913734,0.808454224,0.107329604,0.914745378,0.961066291,-5.83179445,TCEA3
ENSG00000152763,0.033487815,3.743962628,0.107228765,0.914825167,0.96108523,-6.470633841,WDR78
ENSG00000117139,0.008766838,6.259888301,0.107108919,0.914919796,0.961119757,-6.705732702,KDM5B
ENSG00000179058,0.031951675,-0.826865523,0.10667261,0.915265149,0.961403448,-5.526506044,C9orf50
ENSG00000172568,0.02539948,2.729965068,0.106572412,0.91534453,0.961403448,-6.178239573,FNDC9
ENSG00000144550,-0.043839753,-1.072729599,-0.106509393,0.915394398,0.961403448,-5.464787354,CPNE9
ENSG00000144214,-0.022334248,1.856582839,-0.106327354,0.915538451,0.961403448,-5.991629016,LYG1
ENSG00000174437,-0.00815154,5.302810896,-0.106299723,0.915560032,0.961403448,-6.662944512,ATP2A2
ENSG00000107672,-0.014171448,4.729859385,-0.106299429,0.915560549,0.961403448,-6.607898404,NSMCE4A
ENSG00000189042,0.018196491,3.966185171,0.106107159,0.915712701,0.961417844,-6.482533983,ZNF567
ENSG00000167578,0.010307738,4.942852733,0.106069722,0.915742327,0.961417844,-6.623130242,RAB4B
ENSG00000143412,-0.016656352,3.953984823,-0.106041642,0.915764548,0.961417844,-6.468544426,ANXA9
ENSG00000180822,0.013547916,3.634291127,0.10590035,0.915876362,0.961417844,-6.425530983,PSMG4
ENSG00000184924,-0.022225941,3.015777469,-0.105891738,0.915883177,0.961417844,-6.267898738,PTRHD1
ENSG00000125351,-0.013982156,2.979865452,-0.105711891,0.916025418,0.961502296,-6.283144668,UPF3B
ENSG00000196865,-0.012616376,4.024840934,-0.105568576,0.916138923,0.961556575,-6.492382913,NHLRC2
ENSG00000105429,-0.016767182,0.936877804,-0.105312637,0.916341195,0.961704008,-5.80880212,MEGF8
ENSG00000176894,-0.032566811,1.945756241,-0.105022585,0.916571032,0.961872779,-6.049994896,PXMP2
ENSG00000284308,0.052287046,-2.013111448,0.1049536,0.916625631,0.961872779,-5.361871956,C2orf81
ENSG00000088808,-0.021042392,3.466049584,-0.104640925,0.916873101,0.962049625,-6.355913645,PPP1R13B
ENSG00000185869,-0.012213724,1.645437478,-0.104584089,0.916917807,0.962049625,-5.984040673,ZNF829
ENSG00000176444,-0.008456165,4.616283584,-0.10439813,0.917064991,0.96212501,-6.577723637,CLK2
